Some weights of ViTModel were not initialized from the model checkpoint at google/vit-base-patch16-224 and are newly initialized: ['vit.pooler.dense.bias', 'vit.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Extracting object features...
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 0
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 1
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 2
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 3
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 4
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 5
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 6
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 7
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 8
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 9
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 10
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 11
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 12
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 13
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 14
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 15
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 16
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 17
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 18
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 19
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 20
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 21
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 22
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 23
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 24
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 25
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 26
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 27
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 28
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 29
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 30
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 31
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 32
video: P_03, start frame:3536, end frame:3686, actions: ['drying hands/face'], selected frames:16, block number: 0
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 0
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 1
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 2
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 3
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 4
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 5
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 6
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 7
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 8
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 9
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 10
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 11
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 12
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 13
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 14
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 15
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 16
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 17
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 18
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 19
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 20
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 21
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 22
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 23
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 24
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 25
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 26
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 27
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 28
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 29
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 30
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 31
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 32
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 33
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 34
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 35
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 36
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 37
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 38
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 39
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 40
video: P_03, start frame:3716, end frame:7132, actions: ['brushing teeth'], selected frames:16, block number: 41
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 0
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 1
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 2
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 3
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 4
video: P_03, start frame:7162, end frame:7642, actions: ['washing hands/face'], selected frames:16, block number: 5
video: P_03, start frame:7642, end frame:7792, actions: ['drying hands/face'], selected frames:16, block number: 0
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 0
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 1
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 2
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 3
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 4
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 5
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 6
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 7
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 8
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 9
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 10
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 11
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 12
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 13
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 14
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 15
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 16
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 17
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 18
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 19
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 20
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 21
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 22
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 23
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 24
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 25
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 26
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 27
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 28
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 29
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 30
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 31
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 32
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 33
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 34
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 35
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 36
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 37
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 38
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 39
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 40
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 41
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 42
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 43
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 44
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 45
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 46
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 47
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 48
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 49
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 50
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 51
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 52
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 53
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 54
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 55
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 56
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 57
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 58
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 59
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 60
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 61
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 62
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 63
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 64
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 65
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 66
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 67
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 68
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 69
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 70
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 71
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 72
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 73
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 74
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 75
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 76
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 77
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 78
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 79
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 80
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 81
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 82
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 83
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 84
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 85
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 86
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 87
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 88
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 89
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 90
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 91
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 92
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 93
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 94
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 95
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 96
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 97
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 98
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 99
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 100
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 101
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 102
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 103
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 104
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 105
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 106
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 107
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 108
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 109
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 110
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 111
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 112
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 113
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 114
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 115
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 116
video: P_03, start frame:8271, end frame:17712, actions: ['washing dishes'], selected frames:16, block number: 117
video: P_03, start frame:17742, end frame:18101, actions: ['moving dishes'], selected frames:16, block number: 0
video: P_03, start frame:17742, end frame:18101, actions: ['moving dishes'], selected frames:16, block number: 1
video: P_03, start frame:17742, end frame:18101, actions: ['moving dishes'], selected frames:16, block number: 2
video: P_03, start frame:17742, end frame:18101, actions: ['moving dishes'], selected frames:16, block number: 3
video: P_03, start frame:18341, end frame:18551, actions: ['drying hands/face'], selected frames:16, block number: 0
video: P_03, start frame:18341, end frame:18551, actions: ['drying hands/face'], selected frames:16, block number: 1
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 0
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 1
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 2
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 3
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 4
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 5
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 6
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 7
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 8
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 9
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 10
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 11
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 12
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 13
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 14
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 15
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 16
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 17
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 18
