P_03
P_04
P_05
P_06
P_09
P_10
P_12
P_13
P_14
P_18
P_19
P_20
Extracting video features for the train split ...
video: P_03 start frame:389, end frame:3086, initially selected frames: 539, finally selected frames:528, start block: 24
video: P_03 start frame:3536, end frame:3686, initially selected frames: 30, finally selected frames:16, start block: 1
video: P_03 start frame:3716, end frame:7132, initially selected frames: 683, finally selected frames:672, start block: 2
video: P_03 start frame:7162, end frame:7642, initially selected frames: 96, finally selected frames:96, start block: 2
video: P_03 start frame:7642, end frame:7792, initially selected frames: 30, finally selected frames:16, start block: 1
video: P_03 start frame:8271, end frame:17712, initially selected frames: 1888, finally selected frames:1888, start block: 1
video: P_03 start frame:17742, end frame:18101, initially selected frames: 72, finally selected frames:64, start block: 4
video: P_03 start frame:18341, end frame:18551, initially selected frames: 42, finally selected frames:32, start block: 1
video: P_03 start frame:18671, end frame:20289, initially selected frames: 323, finally selected frames:320, start block: 12
video: P_03 start frame:20829, end frame:21338, initially selected frames: 102, finally selected frames:96, start block: 6
video: P_03 start frame:21578, end frame:22177, initially selected frames: 120, finally selected frames:112, start block: 4
video: P_03 start frame:22177, end frame:22447, initially selected frames: 54, finally selected frames:48, start block: 3
video: P_03 start frame:23016, end frame:25414, initially selected frames: 479, finally selected frames:464, start block: 11
video: P_03 start frame:25594, end frame:28081, initially selected frames: 497, finally selected frames:496, start block: 13
video: P_03 start frame:26913, end frame:27152, initially selected frames: 48, finally selected frames:48, start block: 13
video: P_03 start frame:28081, end frame:28980, initially selected frames: 180, finally selected frames:176, start block: 8
video: P_03 start frame:29010, end frame:29340, initially selected frames: 66, finally selected frames:64, start block: 1
video: P_03 start frame:29670, end frame:32517, initially selected frames: 569, finally selected frames:560, start block: 18
video: P_03 start frame:30329, end frame:30539, initially selected frames: 42, finally selected frames:32, start block: 0
video: P_03 start frame:32547, end frame:33056, initially selected frames: 102, finally selected frames:96, start block: 6
video: P_03 start frame:33056, end frame:39200, initially selected frames: 1229, finally selected frames:1216, start block: 12
video: P_03 start frame:39590, end frame:40549, initially selected frames: 192, finally selected frames:192, start block: 12
video: P_03 start frame:40579, end frame:42557, initially selected frames: 395, finally selected frames:384, start block: 19
video: P_03 start frame:42797, end frame:43216, initially selected frames: 84, finally selected frames:80, start block: 2
video: P_03 start frame:44625, end frame:44835, initially selected frames: 42, finally selected frames:32, start block: 2
video: P_03 start frame:45014, end frame:63985, initially selected frames: 3794, finally selected frames:3792, start block: 180
video: P_03 start frame:45494, end frame:63985, initially selected frames: 3698, finally selected frames:3696, start block: 207
video: P_03 start frame:64165, end frame:64585, initially selected frames: 84, finally selected frames:80, start block: 4
video: P_03 start frame:64974, end frame:67792, initially selected frames: 563, finally selected frames:560, start block: 9
video: P_03 start frame:67852, end frame:67941, initially selected frames: 18, finally selected frames:16, start block: 1
video: P_03 start frame:67941, end frame:68061, initially selected frames: 24, finally selected frames:16, start block: 0
video: P_03 start frame:68121, end frame:71088, initially selected frames: 593, finally selected frames:592, start block: 4
video: P_04 start frame:59, end frame:5034, initially selected frames: 995, finally selected frames:992, start block: 57
video: P_04 start frame:5064, end frame:9650, initially selected frames: 917, finally selected frames:912, start block: 54
video: P_04 start frame:9650, end frame:10639, initially selected frames: 198, finally selected frames:192, start block: 10
video: P_04 start frame:10369, end frame:15794, initially selected frames: 1085, finally selected frames:1072, start block: 42
video: P_04 start frame:16363, end frame:17142, initially selected frames: 156, finally selected frames:144, start block: 7
video: P_04 start frame:17412, end frame:17562, initially selected frames: 30, finally selected frames:16, start block: 0
video: P_04 start frame:17742, end frame:18101, initially selected frames: 72, finally selected frames:64, start block: 2
video: P_04 start frame:18131, end frame:18731, initially selected frames: 120, finally selected frames:112, start block: 6
video: P_04 start frame:18881, end frame:19480, initially selected frames: 120, finally selected frames:112, start block: 5
video: P_04 start frame:19900, end frame:20829, initially selected frames: 186, finally selected frames:176, start block: 9
