P_01
P_02
P_16
P_17
P_07
P_08
P_11
P_15
Extracting video features for the val split ...
video: P_01 start frame:239, end frame:989, initially selected frames: 150, finally selected frames:16
video: P_01 start frame:1018, end frame:9890, initially selected frames: 1774, finally selected frames:16
video: P_01 start frame:3866, end frame:8691, initially selected frames: 965, finally selected frames:16
video: P_01 start frame:9800, end frame:10459, initially selected frames: 132, finally selected frames:16
video: P_01 start frame:10579, end frame:11028, initially selected frames: 90, finally selected frames:16
video: P_01 start frame:11088, end frame:19270, initially selected frames: 1636, finally selected frames:16
video: P_01 start frame:12407, end frame:14655, initially selected frames: 449, finally selected frames:16
video: P_01 start frame:14685, end frame:16903, initially selected frames: 443, finally selected frames:16
video: P_01 start frame:16992, end frame:18041, initially selected frames: 210, finally selected frames:16
video: P_01 start frame:19630, end frame:26943, initially selected frames: 1462, finally selected frames:16
video: P_01 start frame:26973, end frame:27991, initially selected frames: 203, finally selected frames:16
video: P_01 start frame:27991, end frame:31768, initially selected frames: 755, finally selected frames:16
video: P_01 start frame:30929, end frame:31768, initially selected frames: 168, finally selected frames:16
video: P_01 start frame:32097, end frame:33985, initially selected frames: 377, finally selected frames:16
video: P_01 start frame:34045, end frame:34285, initially selected frames: 48, finally selected frames:16
video: P_01 start frame:34345, end frame:38811, initially selected frames: 893, finally selected frames:16
video: P_01 start frame:39050, end frame:40639, initially selected frames: 318, finally selected frames:16
video: P_01 start frame:40669, end frame:41088, initially selected frames: 84, finally selected frames:16
video: P_01 start frame:41118, end frame:41778, initially selected frames: 132, finally selected frames:16
video: P_01 start frame:41808, end frame:41928, initially selected frames: 24, finally selected frames:16
video: P_01 start frame:42167, end frame:42407, initially selected frames: 48, finally selected frames:16
video: P_01 start frame:42557, end frame:44625, initially selected frames: 413, finally selected frames:16
video: P_01 start frame:44655, end frame:45284, initially selected frames: 126, finally selected frames:16
video: P_01 start frame:45374, end frame:48641, initially selected frames: 653, finally selected frames:16
video: P_01 start frame:48671, end frame:51068, initially selected frames: 479, finally selected frames:16
video: P_01 start frame:49000, end frame:50319, initially selected frames: 264, finally selected frames:16
video: P_01 start frame:51098, end frame:51728, initially selected frames: 126, finally selected frames:16
video: P_01 start frame:51788, end frame:52417, initially selected frames: 126, finally selected frames:16
video: P_01 start frame:52747, end frame:53136, initially selected frames: 78, finally selected frames:16
video: P_01 start frame:53286, end frame:53736, initially selected frames: 90, finally selected frames:16
video: P_02 start frame:29, end frame:2187, initially selected frames: 431, finally selected frames:16
video: P_02 start frame:2187, end frame:2517, initially selected frames: 66, finally selected frames:16
video: P_02 start frame:2547, end frame:2667, initially selected frames: 24, finally selected frames:16
video: P_02 start frame:2757, end frame:5064, initially selected frames: 461, finally selected frames:16
video: P_02 start frame:6713, end frame:7372, initially selected frames: 132, finally selected frames:16
